,placetitle,types,address,image
45,마마,한식,광주 북구 설죽로214번길 69,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_288%2F1548777866450wlMez_JPEG%2FPPsQjpJgfH7jdgWG5jwFtQ7_.jpg
46,모두랑하우스,한식,광주 북구 설죽로214번길 104,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMjBfMjc2%2FMDAxNjc5MzE0ODk1OTM5.k6APmCgBQid9wbFyqLR75Q3h5G7k4G5KGjE6CRPmAM8g.VW2UxZCOYU8smoSupNqFkawfZSIak5Z7bISINrnFvEQg.JPEG.jpd0314%2F6535798D-3588-4759-A3C7-FCEB87398EC5.jpeg
47,떡볶이참잘하는집 떡참 광주전남대점,분식,광주 북구 설죽로202번길 90 1층,https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221124_277%2F1669257896429cKMTI_JPEG%2F%25BD%25E6%25B3%25D7%25C0%25CF.jpg
48,엄마손중국식분식,종합분식,광주 북구 설죽로214번길 111,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA0MDlfMTYx%2FMDAxNjQ5NDk1MDA4NzU2.6lYgrv-hpsTeTroz1fQbm2l6dJAeQCImScUMNKx9_sYg.4nfKXavD7-iMPHdJ6jSHJ1tNrNdi3VEqNykqhc91Sw4g.JPEG.angel_rain3%2FKakaoTalk_20220409_175500243_06.jpg
49,정지현메밀소바,"우동,소바",광주 북구 설죽로214번길 25,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F1467410227%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1684671560175%26md%3DqgzWr7Ybo0HTsCnhrbodh0eeVAA%253D
50,프렌즈철판볶음밥,한식,광주 북구 설죽로214번길 98,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F21025327%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1684671651084%26md%3D1sDw0lzYAW880bQQaVdpAgL0aHE%253D
51,바삭,한식,광주 북구 설죽로202번길 43,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAyMTJfMTc3%2FMDAxNjc2MTk5NDg4MzA2.PE2Pb1_vi5CzL9g58uGzJoLUDGsNwGW8kNrdDiF9KiYg.kqhHB_9RziLLz-1Ok11j0MU8c0r4LIA5mp0TmgnxnqYg.JPEG.jdp95123%2F20230210%25A3%25DF120816.jpg
52,까동,한식,광주 북구 설죽로202번길 72,https%3A%2F%2Fldb-phinf.pstatic.net%2F20211031_231%2F16356772828964MgOJ_JPEG%2Fgcf7ZViqliTq8CtlhVykMHN0.jpeg.jpg
53,대풍수,중식당,광주 북구 설죽로202번길 71-1 1층,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200211_45%2F1581405979963Q0Sz7_JPEG%2Fimage.jpg
54,동흥루,중식당,광주 북구 반룡로 56,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180125_112%2F1516859593048PWyl1_JPEG%2FC8FoUfV0PyqlIv632BWPe0vW.jpg
